Mahmoud, 96, 99, 100, 99, 97, 95, 98
Mohammad, 54, 98, 57, 78, 54, 75, 84, 70
Ali, 56, 51, 93, 77, 83, 59, 82, 80
Susu, 98, 66, 78, 72, 99, 97, 89, 69
Omar, 89, 52, 92, 81, 87, 84, 74, 57
Ahmed, 59, 60, 60, 63, 60, 61, 77, 74
Aisha, 95, 75, 61, 74, 99, 79, 59, 75
Hana, 81, 69, 81, 66, 95, 89, 78, 90
Fatima, 98, 90, 67, 89, 69, 57, 86, 61
Hassan, 76, 82, 85, 79, 96, 64, 74, 53
Layla, 84, 63, 82, 72, 82, 68, 92, 95
Youssef, 73, 98, 71, 100, 71, 71, 50, 55
Khalid, 80, 84, 86, 80, 60, 60, 88, 85
Mariam, 52, 75, 53, 93, 60, 73, 75, 60
Ibrahim, 97, 92, 97, 50, 96, 80, 77, 70
Noura, 51, 54, 55, 51, 86, 53, 69, 65
Zaid, 90, 83, 98, 98, 79, 97, 87, 73
Aya, 80, 61, 78, 99, 84, 96, 56, 91
Reem, 99, 88, 82, 55, 87, 74, 82, 93
Lina, 50, 97, 94, 82, 81, 58, 54, 65
Sara, 67, 92, 71, 66, 84, 58, 55, 94
Jana, 95, 98, 100, 62, 73, 56, 87, 53
Salma, 68, 87, 95, 67, 75, 72, 51, 93
Mona, 59, 84, 57, 77, 60, 100, 84, 69
Huda, 81, 65, 76, 92, 64, 98, 60, 95
Rania, 81, 91, 97, 90, 97, 92, 77, 57
Nadia, 90, 94, 79, 98, 90, 99, 52, 69
Nizar, 64, 65, 85, 57, 94, 72, 63, 85
Fadi, 92, 73, 53, 55, 50, 67, 50, 85
Tariq, 85, 69, 72, 58, 94, 73, 98, 97
Rami, 77, 94, 69, 60, 63, 72, 66, 71
Hala, 71, 69, 64, 91, 87, 74, 100, 85
Nada, 50, 82, 73, 73, 77, 74, 66, 75
Sami, 96, 54, 96, 95, 90, 85, 93, 92
Rafif, 92, 97, 95, 57, 69, 91, 66, 78
Manar, 72, 57, 78, 66, 64, 66, 59, 52
Hadeel, 74, 99, 89, 70, 63, 69, 97, 81
Amira, 89, 51, 57, 82, 74, 58, 60, 85
Dalia, 55, 82, 65, 89, 97, 96, 73, 95
Farah, 57, 65, 86, 51, 97, 65, 96, 84
Rasha, 61, 51, 78, 60, 83, 78, 60, 67
Kamil, 89, 69, 70, 70, 84, 94, 100, 77
Tamer, 83, 95, 70, 72, 100, 95, 81, 75
Noor, 95, 51, 73, 72, 68, 64, 62, 98
Rida, 68, 65, 92, 68, 77, 63, 71, 65
Basil, 95, 57, 98, 61, 78, 97, 57, 73
Lamar, 98, 83, 69, 100, 80, 69, 60, 65
Nada, 60, 58, 87, 87, 94, 88, 87, 92
Ola, 68, 92, 78, 95, 75, 94, 64, 59
Zainab, 60, 89, 91, 66, 76, 66, 59, 76
Hani, 80, 92, 51, 96, 59, 72, 98, 81
Bassam, 97, 51, 64, 60, 75, 68, 99, 61
Samar, 71, 88, 60, 92, 65, 79, 67, 56
Ahlam, 89, 57, 50, 71, 81, 52, 85, 89
Adnan, 86, 62, 50, 52, 97, 80, 62, 82
Yara, 82, 77, 77, 99, 60, 71, 100, 56
Nashwa, 81, 74, 91, 61, 51, 79, 52, 88
Rabab, 79, 58, 83, 55, 71, 99, 62, 68
Osama, 73, 94, 57, 98, 97, 91, 100, 51
Mahdi, 66, 61, 52, 52, 78, 50, 60, 50
Sameera, 82, 88, 50, 100, 61, 93, 100, 50
Mahran, 65, 66, 75, 79, 96, 73, 71, 77
Fouad, 74, 61, 99, 57, 69, 79, 63, 98
Mais, 64, 68, 56, 71, 82, 85, 89, 90
Amani, 54, 65, 98, 65, 67, 66, 83, 92
Karam, 79, 63, 75, 92, 57, 54, 64, 87
Sahar, 71, 59, 59, 57, 51, 73, 83, 86
Anwar, 85, 75, 50, 66, 78, 82, 98, 100
Bashar, 94, 78, 74, 67, 71, 69, 91, 75
Ruba, 83, 57, 89, 75, 80, 92, 67, 71
Aseel, 91, 68, 69, 66, 82, 74, 85, 87
Arwa, 87, 57, 70, 64, 75, 82, 92, 76
Hussein, 55, 92, 85, 73, 76, 60, 91, 72
Majid, 90, 62, 95, 62, 100, 70, 57, 75
Bilal, 71, 100, 100, 65, 81, 50, 55, 73
